Squad,Country,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
Everton,eng ENG,208,102,45,61,345,247,98,1.43,Head-to-Head
Liverpool,eng ENG,207,67,61,79,275,312,-37,1.06,Head-to-Head
Manchester United,eng ENG,198,70,48,80,270,292,-22,1.1,Head-to-Head
Manchester City,eng ENG,187,87,46,54,298,231,67,1.36,Head-to-Head
Aston Villa,eng ENG,187,81,40,66,301,262,39,1.31,Head-to-Head
Chelsea,eng ENG,185,74,55,56,265,236,29,1.29,Head-to-Head
Tottenham Hotspur,eng ENG,178,74,48,56,278,243,35,1.32,Head-to-Head
Newcastle United,eng ENG,174,75,35,64,247,219,28,1.32,Head-to-Head
Sunderland,eng ENG,142,58,40,44,232,191,41,1.26,Head-to-Head
West Ham United,eng ENG,137,69,36,32,241,154,87,1.63,Head-to-Head
West Bromwich Albion,eng ENG,129,67,29,33,234,161,73,1.44,Head-to-Head
Middlesbrough,eng ENG,115,58,31,26,227,132,95,1.47,Head-to-Head
Bolton Wanderers,eng ENG,115,51,32,32,211,155,56,1.3,Head-to-Head
Leicester City,eng ENG,113,58,33,22,226,147,79,1.58,Head-to-Head
Leeds United,eng ENG,109,46,25,38,177,143,34,1.28,Head-to-Head
Blackburn Rovers,eng ENG,108,52,30,26,206,137,69,1.42,Head-to-Head
Wolverhampton Wanderers,eng ENG,108,53,27,28,208,156,52,1.41,Head-to-Head
Sheffield Wednesday,eng ENG,107,46,30,31,186,148,38,1.26,Head-to-Head
Birmingham City,eng ENG,106,50,33,23,175,116,59,1.37,Head-to-Head
Sheffield United,eng ENG,101,43,23,35,194,154,40,1.18,Head-to-Head
Nottingham Forest,eng ENG,99,50,21,28,156,107,49,1.44,Head-to-Head
Southampton,eng ENG,98,48,27,23,166,106,60,1.64,Head-to-Head
Derby County,eng ENG,96,41,20,35,151,136,15,1.21,Head-to-Head
Burnley,eng ENG,95,46,21,28,161,111,50,1.34,Head-to-Head
Stoke City,eng ENG,94,48,21,25,149,85,64,1.41,Head-to-Head
Coventry City,eng ENG,68,37,18,13,102,56,46,1.71,Head-to-Head
Portsmouth,eng ENG,67,30,23,14,126,76,50,1.39,Head-to-Head
Preston North End,eng ENG,66,32,13,21,101,84,17,1.2,Head-to-Head
Huddersfield Town,eng ENG,64,28,23,13,93,77,16,1.3,Head-to-Head
Fulham,eng ENG,60,39,13,8,132,64,68,1.92,Head-to-Head
Blackpool,eng ENG,58,32,13,13,118,70,48,1.4,Head-to-Head
Norwich City,eng ENG,55,27,19,9,104,53,51,1.69,Head-to-Head
Ipswich Town,eng ENG,54,29,10,15,85,57,28,1.54,Head-to-Head
Charlton Athletic,eng ENG,52,32,11,9,119,61,58,1.79,Head-to-Head
Crystal Palace,eng ENG,51,31,15,5,111,52,59,1.98,Head-to-Head
Queens Park Rangers,eng ENG,46,22,12,12,60,43,17,1.54,Head-to-Head
Luton Town,eng ENG,34,18,8,8,56,46,10,1.68,Head-to-Head
Cardiff City,eng ENG,34,15,11,8,55,41,14,1.32,Head-to-Head
Notts County,eng ENG,34,13,6,15,44,45,-1,1.09,Head-to-Head
Watford,eng ENG,29,16,2,11,52,40,12,1.72,Head-to-Head
Wimbledon,eng ENG,28,13,8,7,55,29,26,1.68,Head-to-Head
Brighton & Hove Albion,eng ENG,26,12,6,8,40,26,14,1.46,Head-to-Head
Bury,eng ENG,26,11,6,9,48,37,11,1.08,Head-to-Head
Brentford,eng ENG,20,9,5,6,25,22,3,1.5,Head-to-Head
Grimsby Town,eng ENG,20,11,5,4,58,19,39,1.35,Head-to-Head
